"","business_id","full_address","open","city","review_count","name","longitude","state","stars","latitude","Take-out","Noise Level","Delivery","Has TV","Outdoor Seating","Attire","Accepts Credit Cards","Price Range","Smoking","Wi-Fi","Suggest_For","Environment","Parkingcondition","Musiccondition"
"49227","YhBJajLay4nmbOqGsn_6aA","5100 Butler St
Lawrenceville
Pittsburgh, PA 15201",FALSE,"Pittsburgh",8,"Lucky Dragon Chinese Restaurant",-79.9555457,"PA",3,40.4783789,"TRUE","quiet","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","lunch, dinner","Not Mentioned","Can parking","No Record"
"49243","PBw1_DSuQBQYDUJ_npPIJw","200 Shiloh St
Mt. Washington
Pittsburgh, PA 15211",FALSE,"Pittsburgh",5,"Havana",-80.0076349,"PA",3.5,40.430735,"No Record","average","No Record","TRUE","TRUE","No Record","TRUE","No Record","yes","No Record","No Record","Not Mentioned","No parking","dj, background_music"
"49307","KDFTshmwxKn6nSi1L3FuUA","530 William Penn Pl
Downtown
Pittsburgh, PA 15219",TRUE,"Pittsburgh",32,"The Tap Room",-79.9962691,"PA",3.5,40.4404929,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","3","No Record","No Record","No Record","No Record","Can parking","No Record"
"49346","bOnTi0BP8_y36XXHE9KdLw","4140 Clairton Blvd
Brentwood, PA 15227",TRUE,"Brentwood",9,"E M Pizzeria",-79.9841265,"PA",4,40.3670102,"TRUE","average","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"49368","jHvJUb_fmE9KSIjCmbrRJQ","418 Semple St
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",4,"Uncle Jimmy's",-79.954613,"PA",5,40.436508,"No Record","No Record","No Record","TRUE","FALSE","No Record","TRUE","1","yes","No Record","No Record","Not Mentioned","No parking","jukebox"
"49433","veEXx-cyi6TPRy7seyt2NA","2953 West Liberty Ave
Dormont
Pittsburgh, PA 15216",TRUE,"Pittsburgh",5,"Little Caesars Pizza",-80.0355829,"PA",1.5,40.394108,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"49435","jimnHLgr6mrWV2kK2PaRhg","5874 Forbes Ave
Squirrel Hill
Pittsburgh, PA 15217",TRUE,"Pittsburgh",31,"Tutti Frutti Frozen Yogurt",-79.9201088,"PA",3.5,40.4378411,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","free","No Record","No Record","Can parking","No Record"
"49447","kg4AP5am_IUczgp1neOvMw","5997 Penn Cir S
Shadyside
Pittsburgh, PA 15206",TRUE,"Pittsburgh",362,"BRGR",-79.925347,"PA",3.5,40.459918,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","free","dinner","casual","Can parking","No Record"
"49448","brcD3qzFVUNrfE-LXwEIOQ","3138 Dobson St
Polish Hill
Pittsburgh, PA 15219",TRUE,"Pittsburgh",54,"Lili Cafe",-79.9658647,"PA",4,40.4574894,"TRUE","quiet","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","free","breakfast","hipster, casual","Can parking","No Record"
"49522","PhoGiguAp2mWjqX85hDavQ","300 S Craig St
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",79,"Razzy Fresh",-79.94898650165,"PA",4,40.445691913509,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","no","No Record","No Record","Can parking","No Record"
"49537","aPX8nQb_Y8L34yKrbfUJ4g","6123 Penn Ave
East Liberty
Pittsburgh, PA 15206",FALSE,"Pittsburgh",19,"Yen's Gourmet",-79.922675,"PA",2,40.4610218,"TRUE","quiet","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","No Record","Not Mentioned","Can parking","No Record"
"49538","mZbgvo7e-1mJ6tSCNX7LOw","7330 Penn Ave
Point Breeze
Pittsburgh, PA 15208",TRUE,"Pittsburgh",3,"Evergreen Cafe",-79.898451,"PA",4.5,40.448209,"No Record","average","No Record","No Record","No Record","No Record","FALSE","1","No Record","No Record","No Record","No Record","No parking","No Record"
"49551","7_ehud9OJdNm8jj13Isdxg","2401 Penn Ave
Strip District
Pittsburgh, PA 15222",FALSE,"Pittsburgh",59,"Pittsburgh Public Market",-79.9804811,"PA",4,40.4538071,"TRUE","No Record","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","No Record","Not Mentioned","Not Mentioned","Can parking","No Record"
"49558","FpVmFPMyHxrOKBus8ASWqQ","4144 Clairton Blvd
Pittsburgh, PA 15227",TRUE,"Pittsburgh",7,"Venice Pizzeria",-79.9841395,"PA",4,40.366983,"TRUE","No Record","TRUE","No Record","No Record","casual","TRUE","2","No Record","No Record","Not Mentioned","No Record","Can parking","No Record"
"49562","-Xl2R863UWrQEyp4dSzMaA","2201 Murray Ave
Squirrel Hill
Pittsburgh, PA 15217",TRUE,"Pittsburgh",111,"Coriander India Grill",-79.9230366200209,"PA",3,40.4326795041561,"TRUE","average","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","free","lunch, dinner","casual","Can parking","No Record"
"49683","30yHpGZufQvUkATZPv5wEw","2101 Green Tree Rd
Pittsburgh, PA 15220",TRUE,"Pittsburgh",29,"Osaka",-80.0712340054321,"PA",3.5,40.3904719245925,"TRUE","quiet","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","no","lunch, dinner","casual","Can parking","No Record"
"49704","WWbPM20A8agePy7-X_6AlA","5863 Ellsworth Ave
Shadyside
Pittsburgh, PA 15232",FALSE,"Pittsburgh",79,"Brasserie 33",-79.9289528,"PA",3,40.4574778,"FALSE","average","FALSE","FALSE","FALSE","casual","TRUE","3","No Record","no","dinner","romantic, intimate, classy, casual","Can parking","No Record"
"49726","orUFgCDq1ussIF89g6piIA","2120 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",129,"Pho Van",-79.9824216,"PA",3.5,40.4519288,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","lunch, dinner","casual","Can parking","No Record"
"49754","XAq59EnXvV_6y7HbDOJdTg","5202 Butler St
Lawrenceville
Pittsburgh, PA 15201",FALSE,"Pittsburgh",28,"Mauramori Cafe",-79.954097,"PA",3.5,40.480421,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","brunch, breakfast","casual","Can parking","No Record"
"49810","SsSL6gKSlpTeeZXZEjAKFA","3710 Fifth Ave
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",21,"The Pittsburgh Popcorn Company",-79.9580559,"PA",3.5,40.4420548,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"49845","aBXz47ZGq4tvdayDQryhyw","Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",16,"Franktuary Truck",-79.9933976,"PA",4,40.4475255,"TRUE","No Record","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","no","lunch","Not Mentioned","No parking","No Record"
"49917","VQDqKpJ3Qa4Cso1Wuk92UA","219 Atwood St
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",13,"Pizza Romano",-79.958097,"PA",3,40.4408936,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","casual","No parking","No Record"
"49931","Oq01QS2G1OvCsunccVSgxQ","2020 Murray Ave
Squirrel Hill
Pittsburgh, PA 15217",TRUE,"Pittsburgh",106,"Green Pepper",-79.922987,"PA",3.5,40.434176,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","no","free","dinner","casual","Can parking","karaoke"
"49936","L3D_HmxBnfV276Skw6s1fw","510 E 10th Ave
Homestead
Munhall, PA 15120",TRUE,"Munhall",21,"Carnegie Library Music Hall",-79.902948,"PA",3.5,40.4070139,"No Record","very_loud","No Record","FALSE","FALSE","No Record","TRUE","2","outdoor","No Record","No Record","intimate","Can parking","live"
"50025","x1EtuyQAd1NcJ-Esvtop3w","2128 Broadway Ave
Beechview
Pittsburgh, PA 15216",TRUE,"Pittsburgh",77,"SLICE on Broadway",-80.0304603,"PA",4,40.4041353,"TRUE","average","TRUE","TRUE","TRUE","casual","TRUE","1","No Record","no","lunch","casual","Can parking","No Record"
"50068","vpr2y1e3VFRSg6UszEuc0A","3526 Blvd of the Allies
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",26,"Papa Da Vinci",-79.9554671,"PA",2.5,40.4346061,"TRUE","average","TRUE","TRUE","TRUE","casual","TRUE","1","No Record","No Record","latenight","divey","Can parking","No Record"
"50200","R9Tll6IKpJtYcsbEv7edCA","4656 Browns Hill Rd
Squirrel Hill
Pittsburgh, PA 15217",TRUE,"Pittsburgh",46,"IHOP",-79.9235104679316,"PA",2.5,40.4149933073569,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","free","breakfast","casual","Can parking","No Record"
"50212","pQIyWZx8cu_dfT6xfjyT2g","2883 W Liberty Ave
Dormont
Dormont, PA 15216",TRUE,"Dormont",4,"R Bar",-80.0335081,"PA",5,40.3951003,"No Record","loud","No Record","TRUE","FALSE","No Record","FALSE","2","yes","No Record","No Record","divey","Can parking","jukebox, live"
"50215","zeT6q0x-w3S9fYCDB8Zn2g","1831 E Carson St
South Side
Pittsburgh, PA 15203",FALSE,"Pittsburgh",18,"Villa Southside",-79.979321,"PA",3,40.428879,"No Record","very_loud","No Record","TRUE","TRUE","No Record","TRUE","2","no","No Record","No Record","Not Mentioned","Can parking","dj"
"50368","X1oJUKkk9Dw2DJnGbSw32w","1883 Painter's Run Rd
Pittsburgh, PA 15241",TRUE,"Pittsburgh",14,"Claudio's Pizzeria & Ristorante",-80.084638,"PA",4,40.3631529,"TRUE","quiet","No Record","FALSE","FALSE","casual","TRUE","2","No Record","no","dinner","Not Mentioned","No parking","No Record"
"50373","v-y7cV0-ChxQp_5TyZ-KTg","Concourse B
Pittsburgh International Airport
Downtown
Pittsburgh, PA 15231",TRUE,"Pittsburgh",3,"Sam Adams Celebrates Pittsburgh",-79.9939659,"PA",3,40.4427477,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","2","no","No Record","No Record","No Record","No Record","No Record"
"50400","yCyLqBX3aujcR0SeIuxSWw","211 Forbes Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",37,"Chipotle Mexican Grill",-80.0019932580271,"PA",3.5,40.4406579465264,"TRUE","average","FALSE","FALSE","TRUE","casual","TRUE","1","No Record","free","dinner","casual","Can parking","No Record"
"50404","pXS-IJlwDMgH7Xn_PdNY3w","4422 Bigelow Blvd
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",4,"Pad Thai Express",-79.9548779,"PA",3.5,40.4444572,"TRUE","No Record","FALSE","No Record","No Record","No Record","No Record","1","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"50422","NokbsnddUVEAS0IiVjHgSA","420 Blvd of Allies
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",6,"Taste of Art @ Art Institute of Pittsburgh",-79.9995548,"PA",4,40.4374254,"TRUE","No Record","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","No Record","No Record","No Record","No Record"
"50440","MciNu1Ab0mwojYWqvNyvuQ","1055 Washington Ave
Carnegie, PA 15106",FALSE,"Carnegie",5,"For All Seasons",-80.0832802,"PA",4,40.3981808,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","3","No Record","free","No Record","No Record","No parking","No Record"
"50447","RMrdI5noVh3-b7NM48PcVg","4422 Bigelow Blvd
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",28,"India on Wheels",-79.9548779,"PA",4,40.4444572,"TRUE","quiet","FALSE","FALSE","FALSE","casual","FALSE","1","No Record","no","lunch","Not Mentioned","Can parking","No Record"
"50464","YOMMA4fsL4_SaPaPyA7sFg","308 Forbes Ave
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",101,"Penn Avenue Fish Company",-80.0004821,"PA",3.5,40.439901,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","lunch","casual","Can parking","No Record"
"50474","OuF38B4zLRcZAKpFRUYDuA","4609 Centre Ave
Oakland
Pittsburgh, PA 15213",TRUE,"Pittsburgh",13,"New China Inn",-79.9516942,"PA",1.5,40.4520131,"TRUE","quiet","TRUE","TRUE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","Not Mentioned","Can parking","No Record"
"50497","jetVJScqUDj_bl6RzlNlnw","3025 Banksville Rd
Banksville
Pittsburgh, PA 15216",FALSE,"Pittsburgh",10,"City Oven",-80.0425457,"PA",4,40.400967,"TRUE","average","TRUE","TRUE","TRUE","casual","TRUE","2","No Record","free","lunch, dinner","Not Mentioned","Can parking","No Record"
"50516","BjpdWfjpMtyRL_ZApzarDQ","1322 E Carson St
South Side
Pittsburgh, PA 15203",TRUE,"Pittsburgh",18,"Sal's New York Pizzeria",-79.9844739,"PA",2.5,40.4286949,"TRUE","No Record","No Record","No Record","FALSE","casual","TRUE","No Record","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"50517","tJjC4MA0H_nWZUBpvgtLxw","1707 E Carson St
South Side
Pittsburgh, PA 15203",FALSE,"Pittsburgh",28,"Pi Coal Fired Pizza",-79.981628,"PA",3.5,40.429111,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","no","no","dinner","Not Mentioned","Can parking","dj"
"50531","Nwo25wdokkG37VMUfmqNVg","2212 E Carson St
South Side
Pittsburgh, PA 15203",FALSE,"Pittsburgh",4,"Mexico City",-79.9739619,"PA",3.5,40.4282626,"No Record","average","No Record","No Record","FALSE","casual","No Record","2","No Record","No Record","No Record","No Record","No Record","No Record"
"50557","EiPzzpn3F61U4n5cxrgRpw","7628 Penn Ave
Point Breeze
Pittsburgh, PA 15221",TRUE,"Pittsburgh",3,"Walgreens",-79.8944603,"PA",4.5,40.4468432,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","2","No Record","No Record","No Record","No Record","No parking","No Record"
"50618","XZK4N683_sPkQ2MYyafD3Q","108 43rd St
Lawrenceville
Pittsburgh, PA 15201",TRUE,"Pittsburgh",135,"Kaleidoscope Café",-79.9631286,"PA",4,40.4724449,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"50625","CnKQgNyBmIvTE7zfegmV7Q","2623 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",106,"Savoy",-79.978064,"PA",3.5,40.455525,"TRUE","average","FALSE","TRUE","TRUE","dressy","TRUE","3","no","free","dinner","trendy","Can parking","live"
"50674","I522MkH30yljSdZlQ1t4VA","305 Wood St
Downtown
Pittsburgh, PA 15222",FALSE,"Pittsburgh",5,"Nathan's Famous",-80.0017249,"PA",3,40.439226,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","Not Mentioned","Not Mentioned","Can parking","No Record"
"50676","zQ5rJZ9JOhEOsFYLkO7qUg","3841 Willow Ave
Pittsburgh, PA 15234",TRUE,"Pittsburgh",40,"Someone Else's Bar",-80.026093,"PA",4,40.36487,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","no","no","dinner","casual","Can parking","No Music"
"50739","X7844DdJO4y2oVbcpxD-NA","5 Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",371,"Winghart's Burger & Whiskey Bar",-80.0024463,"PA",4,40.4400929,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","no","free","lunch","casual","Can parking","background_music"
"50784","YYNqf7ZjlYVjlmv_xLqCjw","1928 Cochran Rd
Pittsburgh, PA 15220",FALSE,"Pittsburgh",9,"Andora",-80.0656595,"PA",4,40.3932983,"No Record","quiet","FALSE","No Record","TRUE","casual","TRUE","2","No Record","no","dinner","Not Mentioned","Can parking","No Record"
"50845","d_HeDrR7K4oPUIeRVLytZg","400 N Shore Dr
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",75,"Stage AE",-80.0120666,"PA",4,40.4461863,"No Record","very_loud","No Record","FALSE","TRUE","No Record","TRUE","2","outdoor","No Record","No Record","casual","Can parking","live"
"50853","wIjmB5CiYQLxt9SLkZ_kXw","617 Brownsville Rd
Knoxville
Pittsburgh, PA 15210",TRUE,"Pittsburgh",7,"Vocelli Pizza",-79.9902177,"PA",4.5,40.4106363,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"50913","uCDUZlheKW_SA_qHvli8_Q","1320 Centre Avenue
The Hill District
Pittsburgh, PA 15219",TRUE,"Pittsburgh",39,"Cambria hotel & suites Pittsburgh - Downtown",-79.987907,"PA",4,40.440143,"No Record","quiet","No Record","TRUE","FALSE","No Record","TRUE","2","outdoor","free","No Record","Not Mentioned","Can parking","No Music"
"50954","x8GTTMIAtUJ5EsIMnsOacQ","Waterworks Mall
932 Freeport Rd
Pittsburgh, PA 15238",TRUE,"Pittsburgh",405,"Burgatory",-79.889315,"PA",4,40.487971,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","no","dinner","casual","Can parking","No Record"
"51007","o6Jla5xj5fXHGUnnojOGog","1817 Mckees Rocks Rd
Mckees Rocks, PA 15136",TRUE,"Mckees Rocks",11,"Angelias Italian Grille",-80.0980401,"PA",4,40.4688035,"TRUE","average","TRUE","TRUE","FALSE","casual","TRUE","2","no","free","Not Mentioned","casual","Can parking","No Music"
"51031","v3MGJBF1Mc61KwgqiIY-uA","5801 Bryant St
Highland Park
Pittsburgh, PA 15206",TRUE,"Pittsburgh",212,"Park Bruges",-79.9205243,"PA",4,40.4761766,"TRUE","average","FALSE","FALSE","TRUE","casual","TRUE","2","No Record","no","brunch","casual","Can parking","No Record"
"51051","K-bnsVa7FO-mTDTNRpoE9g","4405 Butler St
Lawrenceville
Pittsburgh, PA 15201",FALSE,"Pittsburgh",18,"720 Music, Clothing and Cafe",-79.959903,"PA",4.5,40.471775,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","1","No Record","free","No Record","No Record","Can parking","No Record"
"51073","fPiw9qPglIBykva2DrNB5A","1500 Washingston Rd
Pittsburgh, PA 15228",TRUE,"Pittsburgh",34,"Bravo! Cucina Italiana",-80.051222,"PA",3.5,40.356525,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","paid","dinner","Not Mentioned","Can parking","No Record"
"51079","MoX-AGP4AksEQC8CIQA-dQ","401 East Ohio Street
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",8,"Rita's Italian Ice",-80.0014349,"PA",4,40.4531377,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","no","No Record","No Record","Can parking","No Record"
"51083","kGLM7M4G9LuxD9Y6p3NSPQ","3705 Butler St
Lawrenceville
Pittsburgh, PA 15201",FALSE,"Pittsburgh",35,"Eclipse Lounge",-79.9648053,"PA",4,40.4664894,"No Record","average","No Record","FALSE","TRUE","No Record","TRUE","2","outdoor","No Record","No Record","trendy","Can parking","dj, background_music, live"
"51088","hP9Wr6nT0Z4Zf8Fm_merqg","Consol Energy Center
1001 5th Ave
Downtown
Pittsburgh, PA 15219",TRUE,"Pittsburgh",3,"The Lexus Club",-79.989729,"PA",3,40.4391961,"FALSE","No Record","FALSE","TRUE","FALSE","casual","TRUE","3","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"51192","SdFvvjkdU_U-yD6cK6-ktA","1230 Grove Rd
Pittsburgh, PA 15234",FALSE,"Pittsburgh",4,"Opa! Greek-American Cuisine",-80.013949,"PA",4,40.365969,"TRUE","No Record","No Record","No Record","No Record","casual","TRUE","2","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"51200","K26GoGFV6LidUgW7wcacBQ","4136 Library Rd
Pittsburgh, PA 15234",TRUE,"Pittsburgh",12,"Asian Garden",-80.029173,"PA",3,40.359115,"TRUE","average","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","No Record","lunch","Not Mentioned","Can parking","No Record"
"51216","cpWFWJoQb8fJABt1JLdw5A","4709 Liberty Ave
Bloomfield
Pittsburgh, PA 15224",FALSE,"Pittsburgh",4,"Sugar Cane Cafe",-79.949462,"PA",2.5,40.462119,"No Record","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","No parking","No Record"
"51279","ewN984Rvux04uuQFrGu7mw","1707 Murray Ave
Squirrel Hill
Pittsburgh, PA 15217",TRUE,"Pittsburgh",218,"Waffallonia",-79.9227349,"PA",4.5,40.4377293,"TRUE","quiet","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","dessert","casual","Can parking","No Record"
"51283","-JDr48-qoIdHB53femKgzg","416 Semple St
Oakland
Pittsburgh, PA 15213",FALSE,"Pittsburgh",3,"Lezzet",-79.95473,"PA",4,40.436539,"TRUE","quiet","TRUE","TRUE","FALSE","casual","TRUE","2","No Record","no","Not Mentioned","Not Mentioned","No parking","No Record"
"51302","1sOpYOBTjOUTJBcRe3utqg","1517 Potomac Ave
Dormont
Dormont, PA 15216",FALSE,"Dormont",40,"Sugar Cafe",-80.0357506,"PA",4.5,40.3968899,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","2","No Record","free","No Record","No Record","Can parking","No Record"
"51348","9oeMdTVt0VeI-enjBpKBiQ","5811 Ellsworth Ave
Shadyside
Pittsburgh, PA 15232",TRUE,"Pittsburgh",110,"Daphne Cafe",-79.9305386851092,"PA",4,40.4563938195113,"TRUE","quiet","FALSE","FALSE","TRUE","casual","TRUE","2","No Record","no","lunch","casual","Can parking","No Record"
"51356","fzj8NyEC_fDc_5ilP2bQfQ","200 Park Manor Dr
Crafton, PA 15205",TRUE,"Crafton",11,"TGI Fridays",-80.0742309,"PA",3,40.4301189,"TRUE","quiet","FALSE","TRUE","FALSE","casual","TRUE","2","no","free","Not Mentioned","casual","No parking","background_music"
"51436","oUSaIQjEbGumE9VjHYtaFg","4759 Liberty Ave
Bloomfield
Pittsburgh, PA 15224",TRUE,"Pittsburgh",10,"Rocky's",-79.9481126,"PA",3,40.4613503,"TRUE","loud","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","breakfast","Not Mentioned","Can parking","No Record"
"51447","9iwONFY-aRZA1mgmVgm2ZQ","2815 Penn Ave
Strip District
Pittsburgh, PA 15222",TRUE,"Pittsburgh",55,"Pittsburgh Winery",-79.975468,"PA",4.5,40.457335,"FALSE","loud","No Record","FALSE","FALSE","No Record","TRUE","2","No Record","No Record","No Record","romantic, trendy","Can parking","live"
"51448","-vI0zsfDrJfTjD7OXoQJvQ","565 Lincoln Ave
Bellevue
Pittsburgh, PA 15202",FALSE,"Pittsburgh",14,"Bite Bistro",-80.0577113,"PA",4,40.4965988,"No Record","average","FALSE","FALSE","FALSE","casual","TRUE","2","No Record","No Record","dinner","Not Mentioned","Can parking","No Record"
"51505","39zsyVps1bjZH-Seunc5OA","777 Casino Dr
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",22,"Wheel House",-80.0231399,"PA",3,40.4466323,"TRUE","very_loud","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","free","Not Mentioned","casual","Can parking","No Record"
"51515","yvUJ5bedjwtyQv7XRNPCdQ","665 Washington Rd
Mount Lebanon, PA 15228",FALSE,"Mount Lebanon",16,"My Big Fat Greek Gyro",-80.0440054,"PA",4,40.3813236,"TRUE","average","TRUE","TRUE","FALSE","casual","TRUE","1","No Record","no","Not Mentioned","casual","Can parking","No Record"
"51536","6THckpNEt8VlGpYgC_4JcQ","24 Market Sq
Downtown
Pittsburgh, PA 15222",TRUE,"Pittsburgh",352,"NOLA",-80.002765,"PA",3.5,40.4410376,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","no","dinner","trendy","Can parking","No Record"
"51541","uhzaOsN0i5PNteypm26BfQ","1910 Settlers Ridge Center Dr
Pittsburgh, PA 15205",TRUE,"Pittsburgh",3,"Pure & Simple Bistro",-80.0870155,"PA",3.5,40.4417703,"No Record","average","FALSE","FALSE","TRUE","casual","TRUE","2","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"51616","uLF_5mPsX2fuNvBVWDMvnQ","2500 Swallow Hill Rd
Pittsburgh, PA 15243",TRUE,"Pittsburgh",8,"Other Place",-80.071628,"PA",4.5,40.389439,"TRUE","average","TRUE","FALSE","FALSE","casual","TRUE","2","No Record","No Record","Not Mentioned","No Record","No Record","No Record"
"51678","pMBxvWFY03Z95jNVUVWGwg","1515 E Carson St
South Side
Pittsburgh, PA 15203",TRUE,"Pittsburgh",147,"Local Bar + Kitchen",-79.9828,"PA",3,40.4290019,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","outdoor","free","latenight, lunch, dinner, brunch","casual","Can parking","background_music"
"51706","AuQD43d9bgvxbFVZiwC0ig","4108-10 Penn Ave
Lawrenceville
Pittsburgh, PA 15224",TRUE,"Pittsburgh",105,"Los Cabos Mexican Restaurant",-79.9555801,"PA",3.5,40.4656763,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","1","No Record","no","lunch, dinner","casual","Can parking","No Record"
"51707","9ZqbQaYJEyZYRk-o9zZFSw","3075 Clairton Blvd
West Mifflin, PA 15122",FALSE,"West Mifflin",5,"La Hacienda",-79.8996,"PA",3,40.36176,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"51730","RBSkgnhEofucJqaxXzR-Eg","1118 S Braddock Ave
Swissvale, PA 15218",TRUE,"Swissvale",7,"The Loft",-79.893834,"PA",3.5,40.432022,"FALSE","loud","FALSE","TRUE","FALSE","casual","TRUE","2","no","no","No Record","casual","Can parking","jukebox"
"51749","nAq1WqDfNXOx5gPnB16csw","644 W 7th Ave
Homestead
West Homestead, PA 15120",TRUE,"West Homestead",3,"Hotel Parry",-79.9233956,"PA",2,40.3977539,"No Record","No Record","No Record","TRUE","No Record","No Record","FALSE","1","No Record","No Record","No Record","No Record","No Record","No Record"
"51750","p8ZMP6R9GlCh7XBoJi062g","3504 Main St
Munhall, PA 15120",TRUE,"Munhall",5,"Gameroom",-79.9031422,"PA",3.5,40.3856455,"No Record","average","No Record","TRUE","FALSE","No Record","FALSE","2","yes","No Record","No Record","Not Mentioned","No parking","jukebox"
"51753","j2zuOzaTwU_vy8BgRUQiyw","239 Atwood St
Oakland
Pittsburgh, PA 15213",FALSE,"Pittsburgh",20,"Black Bean Cuban Cuisine",-79.956279,"PA",3.5,40.440304,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","No Record","no","lunch","Not Mentioned","Can parking","No Record"
"51817","REMGt42x3asARab0jGdBZQ","777 Casino Dr
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",6,"Drum Bar",-80.0231399,"PA",3.5,40.4466323,"No Record","loud","No Record","TRUE","FALSE","No Record","TRUE","2","no","No Record","No Record","Not Mentioned","No parking","dj"
"51822","WcfPijF960O8DtSqoLIbcw","353 North Shore Dr
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",94,"Tilted Kilt Pub & Eatery",-80.0108553,"PA",2,40.4458199,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","no","no","dinner","casual","Can parking","No Music"
"51889","cUVoyuhqv3ArYwwG_YcY1w","2 E North Ave
North Side
Pittsburgh, PA 15212",TRUE,"Pittsburgh",8,"Crazy Mocha Coffee",-80.006516,"PA",3.5,40.455708,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","1","No Record","free","No Record","No Record","Can parking","No Record"
